"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/JPN","JP","Japan","Count_Person","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126400000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1999","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126631000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2000","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126843000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2001","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127149000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2002","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127445000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2003","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127718000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2004","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127761000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2005","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127773000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2006","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127854000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2007","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",128001000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2008","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",128063000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2009","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",128047000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2010","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",128070000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2011","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127833000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2012","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127629000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2013","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127445000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2014","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127276000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2015","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127141000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2016","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",127076000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2017","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126972000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2018","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126811000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2019","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126633000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2020","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126261000,"Total Population"
"country/JPN","JP","Japan","Count_Person","2021","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",125681593,"Total Population"
"country/JPN","JP","Japan","Count_Person","2022","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",125124989,"Total Population"
"country/JPN","JP","Japan","Count_Person","2023","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",124516650,"Total Population"
